tweet_id,author_id,text,created_at,retweets,likes
1865364768841666622,1321060078175203328,"RT @rajuparulekar: ना खाता ना बही, अदानी कहे वो सब सही 🚨।👇

Adani Gains ₹45,835 Crore, thanks to MODI Government.

India is shackled by MOD…",2024-12-07 11:56:32+00:00,260,0
1865364763888554166,1820429477337612288,"RT @Jumboblockchain: Breaking New Heights! 🚀🌕

$JNFTC hits $10 — an incredible 10X surge in just 3 weeks since the IDO! 🎉

The #bullish mom…",2024-12-07 11:56:31+00:00,2581,0
1865364760834793870,1572353313852608512,"$POPCAT looks bullish with a bounce from strong daily support and an inverse H&amp;S pattern on the 4H chart. 🚀

https://t.co/kqCrL0hOtS for more updates. Link in the bio

$doge #doge $velo $velo #coreum $grt $btc #iris $litt #izumifinance https://t.co/nz2OuvsMDm",2024-12-07 11:56:30+00:00,0,0
1865364759341933040,1638769157188751360,@titan_vipsensei パプルンッ♡,2024-12-07 11:56:30+00:00,0,0
1865364758712439205,1303786361959268352,"RT @BJP4India: From 2023 until now, OCCRP has published around 5-7 articles targeting Adani.

While there are thousands of major corporatio…",2024-12-07 11:56:29+00:00,500,0
1865364758544748999,1863023299199901696,"RT @TheWillyDefi: @Cryptoarena001 @SanXz_9 I am super bullish on #Suimer_dog  
Get your bags filled
CA: 0x75b81bc95dbe9944fd1165b9fcd529c54…",2024-12-07 11:56:29+00:00,2,0
1865364757831630918,1196942136668758025,"@PropFirmAdvisrs @Breakthroughcpt All Done 
@simptrades @SheikHan_0 @titan_forex",2024-12-07 11:56:29+00:00,0,0
1865364756011360687,4230668188,"RT @otienowill: What tribe is 

1. SHA?  
2. Adani deal?  
3. Finance Bill 2024?  
4. University funding?  
5. Falsehood?  
6. Political gi…",2024-12-07 11:56:29+00:00,4037,0
1865364755889684714,1859076564580700160,"RT @CREAMonBASE: Good Morning $CREAM frens! ☀️  

Cats Rule Everything Around Me! 🐾🐱

Stay bullish and have a great day. We have so much co…",2024-12-07 11:56:29+00:00,6,0
1865364752739754055,1491916508913713170,"RT @ThiagoIzq2022: Hoy Cuba recuerda, el aniversario 128 de la caída en combate del Titán de bronce Antonio Maceo y su ayudante Panchito Gó…",2024-12-07 11:56:28+00:00,42,0
1865364752119005584,1865238628663758848,"RT @GestureTaurus: @Regrets10x Buy something truly bullish mate. 

Buy $chonk and HODL. 

0x3aafee2d6F3d63CDB39704Bab6bE9099c3f2d3Dc https:…",2024-12-07 11:56:28+00:00,24,0
1865364750663549355,1804639778325024768,@SwagDawwg @Bobbyy_Crypto @Swagoneth @MogCoinEth @WillsOutlook @Wilsonchen1101 @Wyckoff_Insider @neso Bullish asap,2024-12-07 11:56:28+00:00,0,0
1865364748184781194,1816801197552205829,"RT @emrestrr: @WhaleEverything Super Bullish on this side $PINO

Pino has the best quality video animations look at their profile
  @pinoth…",2024-12-07 11:56:27+00:00,4,0
1865364747157151863,1775577224944500736,@AbassMo3 @movementlabsxyz @GorillaMoverz @BehemothBtc @DeSasic @network_surgeon @bullish_ness Gmove,2024-12-07 11:56:27+00:00,0,0
1865364747001987258,78362518,"RT @withbharatjodo: अडानी को ज़मीन देने के लिए छत्तीसगढ़ की BJP सरकार काटेगी 2.73 लाख पेड़!

#adani #adanistock https://t.co/1Reg7ccllb",2024-12-07 11:56:27+00:00,1,0
1865364746876133492,1712922412524711937,@Supedotcom @aibuzzing @waifubuzz Ever bullish on super $WAIFU,2024-12-07 11:56:27+00:00,0,0
1865364746439934023,1372282336650407938,@RedPawOnSolana @AlexanderGuru_ If you’re not bullish on $redpaw you’re missing out. This project is unstoppable.,2024-12-07 11:56:27+00:00,0,0
