date,hour,total_mentions,positive_sentiment,negative_sentiment,neutral_sentiment,sentiment_ratio,is_market_open,hour_of_day,rolling_mentions_3h,rolling_sentiment_3h
2024-10-21,1970-01-01 00:00:00.000000005,0.0,3,0,0,0.13043478260869565,0,0,0.0,0.25806451612903225
2024-10-21,1970-01-01 00:00:00.000000011,0.0,2,0,1,0.08695652173913043,0,0,0.0,0.20967741935483875
2024-10-21,1970-01-01 00:00:00.000000015,0.0,2,0,0,0.08695652173913043,0,0,0.0,0.19354838709677424
2024-10-22,1970-01-01 00:00:00.000000003,0.0,1,0,0,0.043478260869565216,0,0,0.0,0.12903225806451615
2024-10-22,1970-01-01 00:00:00.000000004,0.14864864864864866,10,0,5,0.43478260869565216,0,0,0.14864864864864863,0.3870967741935484
2024-10-22,1970-01-01 00:00:00.000000007,0.0,1,0,0,0.043478260869565216,0,0,0.14864864864864863,0.3548387096774194
2024-10-22,1970-01-01 00:00:00.000000014,0.0,0,0,1,0.0,0,0,0.14864864864864863,0.32258064516129037
2024-10-23,1970-01-01 00:00:00.000000003,0.0,1,0,0,0.043478260869565216,0,0,0.0,0.03225806451612903
2024-10-23,1970-01-01 00:00:00.000000004,0.04054054054054054,6,0,3,0.2608695652173913,0,0,0.040540540540540536,0.19354838709677424
2024-10-23,1970-01-01 00:00:00.000000007,0.0,1,0,0,0.043478260869565216,0,0,0.040540540540540536,0.22580645161290322
2024-10-24,1970-01-01 00:00:00.000000004,0.14864864864864866,13,0,5,0.5652173913043478,0,0,0.18918918918918917,0.6129032258064517
2024-10-24,1970-01-01 00:00:00.000000007,0.0,1,0,0,0.043478260869565216,0,0,0.14864864864864863,0.4516129032258065
2024-10-24,1970-01-01 00:00:00.000000014,0.0,0,0,1,0.0,0,0,0.14864864864864863,0.4193548387096775
2024-10-24,1970-01-01 00:00:00.000000016,0.0,2,0,0,0.08695652173913043,0,0,0.0,0.06451612903225808
2024-10-25,1970-01-01 00:00:00.000000005,0.0,1,0,0,0.043478260869565216,0,0,0.0,0.06451612903225808
2024-10-25,1970-01-01 00:00:00.000000012,0.0,1,0,0,0.043478260869565216,0,0,0.0,0.0967741935483871
2024-10-28,1970-01-01 00:00:00.000000003,0.0,0,0,1,0.0,0,0,0.0,0.03225806451612903
2024-10-28,1970-01-01 00:00:00.000000004,0.14864864864864866,11,0,6,0.4782608695652174,0,0,0.14864864864864863,0.3548387096774194
2024-10-28,1970-01-01 00:00:00.000000010,0.0,1,0,0,0.043478260869565216,0,0,0.14864864864864863,0.3548387096774194
2024-10-28,1970-01-01 00:00:00.000000016,0.0,0,1,0,0.0,0,0,0.14864864864864863,0.3548387096774194
2024-10-29,1970-01-01 00:00:00.000000003,0.0,1,0,0,0.043478260869565216,0,0,0.0,0.03225806451612903
2024-10-29,1970-01-01 00:00:00.000000005,0.16216216216216217,8,0,10,0.34782608695652173,0,0,0.16216216216216214,0.25806451612903225
